pair,dst_id,src_id,category,confidence,score,dist_diff_m,clock_diff_deg,dst_type,dst_clock_deg,dst_depth_pct,dst_length_mm,dst_width_mm,dst_distance_m_aligned,src_type,src_clock_deg,src_depth_pct,src_length_mm,src_width_mm,src_distance_m,years,depth_growth_per_year,length_growth_mm_per_year,width_growth_mm_per_year,risk_index
2015_to_2007,562,778,matched,0.7919309374343124,0.7919309374343124,0.25189846213288547,0.0,,90.0,13.0,25.907999999999998,26.924,4592.518050462133,corrosion,90.0,12.0,27.94,25.907999999999998,4592.266152,8.0,0.125,-0.25400000000000045,0.12700000000000022,0.017540000000000004
2015_to_2007,2137,1817,matched,0.7790559579013737,0.7790559579013737,3.917015786984848,0.0,,270.0,11.0,18.034,32.004,12691.856424213016,corrosion,270.0,11.0,25.907999999999998,32.004,12695.77344,8.0,0.0,-0.9842499999999998,0.0,0.0
2015_to_2007,2144,1808,matched,0.7782085054290868,0.7782085054290868,3.7668104640924867,0.0,,300.0,14.0,16.002,25.907999999999998,12697.824226464092,corrosion,300.0,16.0,16.002,22.098,12694.057416,8.0,-0.25,0.0,0.47624999999999984,0.009524999999999999
2015_to_2007,3047,2036,matched,0.7764922592468688,0.7764922592468688,1.9774027824241784,0.0,,210.0,11.0,23.875999999999998,38.099999999999994,14137.933890782424,corrosion,210.0,12.0,23.875999999999998,26.924,14135.956488,8.0,-0.125,0.0,1.3969999999999994,0.02793999999999999
2015_to_2007,2308,1841,matched,0.7730033122319349,0.7730033122319349,7.20275791302447,0.0,,240.0,11.0,8.128,14.985999999999999,12744.020565913024,corrosion,240.0,11.0,10.921999999999999,18.034,12736.817808,8.0,0.0,-0.34924999999999984,-0.381,0.0
2015_to_2007,2197,1837,matched,0.7692255979099663,0.7692255979099663,4.702400783762641,0.0,,270.0,12.0,19.049999999999997,25.907999999999998,12729.252008783764,corrosion,270.0,13.0,23.114,33.019999999999996,12724.549608000001,8.0,-0.125,-0.5080000000000005,-0.8889999999999998,0.0
2015_to_2007,2146,1811,matched,0.7646237753040149,0.7646237753040149,3.2730842609944375,0.0,,300.0,13.0,19.049999999999997,33.019999999999996,12697.927908260994,corrosion,300.0,15.0,19.049999999999997,18.034,12694.654824,8.0,-0.25,0.0,1.8732499999999996,0.03746499999999999
2015_to_2007,2143,1816,matched,0.7585234208752154,0.7585234208752154,2.1117171717942256,0.0,,270.0,11.0,46.99,38.862,12697.763237171795,cluster,270.0,12.0,52.832,57.40399999999999,12695.651520000001,8.0,-0.125,-0.7302499999999998,-2.3177499999999984,0.0
2015_to_2007,2281,1840,matched,0.7547641947735798,0.7547641947735798,4.049426959907578,0.0,,120.0,13.0,40.894,18.034,12740.483186959907,corrosion,120.0,11.0,20.066,18.034,12736.43376,8.0,0.25,2.6035,0.0,0.08207
2015_to_2007,2159,1825,matched,0.750555605633489,0.750555605633489,1.5166478874416498,0.0,,60.0,10.0,20.066,32.004,12701.51712811256,corrosion,60.0,16.0,21.081999999999997,13.97,12703.033776000002,8.0,-0.75,-0.12699999999999978,2.25425,0.045085
2015_to_2007,2973,2022,matched,0.7450919981951262,0.7450919981951262,4.267500676827694,0.0,,120.0,17.0,36.068,112.014,14083.00388467683,cluster,120.0,14.0,55.117999999999995,118.11,14078.736384000002,8.0,0.375,-2.3812499999999996,-0.7620000000000005,0.045
2015_to_2007,3062,2041,matched,0.7421786267883941,0.7421786267883941,7.8400149543522275,0.0,,150.0,10.0,29.971999999999998,42.925999999999995,14144.676257045649,corrosion,150.0,10.0,23.114,22.098,14152.516272,8.0,0.0,0.8572499999999996,2.6034999999999995,0.069215
2015_to_2007,1952,1690,matched,0.7408577599598973,0.7408577599598973,7.145340015038528,0.0,,240.0,13.0,8.128,14.985999999999999,12040.61886001504,corrosion,240.0,17.0,20.066,23.114,12033.473520000001,8.0,-0.5,-1.4922499999999999,-1.0160000000000002,0.0
2015_to_2007,2184,1828,matched,0.7402868866002533,0.7402868866002533,4.839417524905002,0.0,,180.0,11.0,41.91,70.866,12716.261289524906,cluster,180.0,16.0,56.388000000000005,62.738,12711.421872,8.0,-0.625,-1.809750000000001,1.016,0.02032
2015_to_2007,3181,2095,matched,0.7398087892451413,0.7398087892451413,11.20170403307202,0.0,,120.0,18.0,11.937999999999999,32.004,14481.556711966929,corrosion,120.0,15.0,23.114,36.068,14492.758416,8.0,0.375,-1.3970000000000002,-0.508,0.045
2015_to_2007,2134,1797,matched,0.7364941845888614,0.7364941845888614,9.844680779176997,0.0,,90.0,11.0,14.985999999999999,29.971999999999998,12691.807632779177,corrosion,90.0,11.0,36.068,23.114,12681.962952,8.0,0.0,-2.63525,0.8572499999999996,0.017144999999999994
2015_to_2007,945,1021,matched,0.7359900631111218,0.7359900631111218,8.970726333329367,0.0,,150.0,11.0,14.985999999999999,17.018,6599.221289666671,corrosion,150.0,15.0,19.049999999999997,33.019999999999996,6608.192016,8.0,-0.5,-0.5079999999999998,-2.0002499999999994,0.0
