pair,dst_id,confidence,score,dst_type,dst_clock_deg,dst_depth_pct,dst_length_mm,dst_width_mm,dst_distance_m_aligned
2015_to_2007,794,0.49995078090602846,0.49995078090602846,,180.0,54.0,64.26199999999999,460.756,5772.679153160239
2015_to_2007,1221,0.4936521602644366,0.4936521602644366,,210.0,12.0,16.002,27.94,8417.534703900837
2015_to_2007,1066,0.49196654209301965,0.49196654209301965,,30.0,10.0,9.906,21.081999999999997,7244.439210715118
2015_to_2007,3473,0.4869663362394349,0.4869663362394349,,240.0,10.0,23.875999999999998,70.10399999999998,16248.187799910214
2015_to_2007,925,0.482162674306059,0.482162674306059,,240.0,45.0,53.593999999999994,130.302,6550.2743331352285
2015_to_2007,3348,0.4732165339693133,0.4732165339693133,,60.0,20.0,55.117999999999995,40.132,15358.10091976151
2015_to_2007,3569,0.47290501433825316,0.47290501433825316,,0.0,,,,17029.015412376844
2015_to_2007,1067,0.4684702497607944,0.4684702497607944,,30.0,10.0,32.004,62.992,7244.600832339702
2015_to_2007,2867,0.4681634370413673,0.4681634370413673,,330.0,53.0,34.544000000000004,128.778,13805.340983109489
2015_to_2007,2900,0.46762086284102894,0.46762086284102894,,180.0,24.0,30.987999999999996,35.05199999999999,13862.524543565387
2015_to_2007,3338,0.4674874904823765,0.4674874904823765,,300.0,18.0,61.467999999999996,167.132,15357.353800930892
2015_to_2007,1997,0.4653872722084263,0.4653872722084263,,210.0,57.0,23.875999999999998,78.99399999999999,12119.52375692184
2015_to_2007,426,0.45665170185670734,0.45665170185670734,,210.0,16.0,55.117999999999995,43.942,3816.532987803735
2015_to_2007,3634,0.4539889702955067,0.4539889702955067,,270.0,15.0,55.117999999999995,41.91,17382.695367860815
2015_to_2007,3666,0.45384219822671734,0.45384219822671734,,0.0,,,,17496.727047664983
2015_to_2007,782,0.4507333708059892,0.4507333708059892,,180.0,23.0,13.97,27.94,5654.201353947754
2015_to_2007,1271,0.4478833456929958,0.4478833456929958,,150.0,57.0,26.924,65.024,8826.821646634875
2015_to_2007,3675,0.44432160788879266,0.44432160788879266,,180.0,,,,17505.183213041702
2015_to_2007,3668,0.4402386331992942,0.4402386331992942,,270.0,,,,17500.959704550267
2015_to_2007,3124,0.4358767139386037,0.4358767139386037,,180.0,24.0,21.843999999999998,93.726,14310.292680273025
2015_to_2007,3670,0.43345649891561094,0.43345649891561094,,90.0,,,,17503.600540906646
2015_to_2007,1222,0.43241861976806345,0.43241861976806345,,210.0,19.0,27.432,107.44200000000001,8417.604841586977
2015_to_2007,1269,0.426931458070438,0.426931458070438,,180.0,46.0,43.942,60.959999999999994,8826.809448776416
2015_to_2007,457,0.4245516771738284,0.4245516771738284,,30.0,25.0,18.034,82.042,4111.501601059815
2015_to_2007,3644,0.41331471699311323,0.41331471699311323,,150.0,18.0,46.99,53.08599999999999,17401.00740287242
2015_to_2007,6,0.3999922784660255,0.3999922784660255,,,,,,31.528359575240454
2015_to_2007,2052,0.39999127126117434,0.39999127126117434,,,,,,12457.27635872294
