pair,src_id,src_type,src_clock_deg,src_depth_pct,src_length_mm,src_width_mm,src_distance_m
2015_to_2007,0,area start launcher,,,,,-8.479536000000001
2015_to_2007,1,support,180.0,,,,-5.937504000000001
2015_to_2007,2,support,180.0,,,,-4.809744
2015_to_2007,3,tap,180.0,,,,-3.7216080000000002
2015_to_2007,4,support,,,,,-1.9781520000000001
2015_to_2007,5,flange,,,,,-1.61544
2015_to_2007,6,tap,270.0,,,,-0.420624
2015_to_2007,7,valve,,,,,0.0
2015_to_2007,8,tap,270.0,,,,0.429768
2015_to_2007,9,tee,270.0,,,,2.462784
2015_to_2007,10,tap,0.0,,,,3.4168080000000005
2015_to_2007,11,bend,,,,,4.681728
2015_to_2007,12,area end launcher,,,,,6.44652
2015_to_2007,14,weld,,,,,8.650224
2015_to_2007,15,above ground marker,,,,,9.08304
2015_to_2007,16,bend,,,,,10.308336
2015_to_2007,17,weld,,,,,11.8872
2015_to_2007,18,bend,,,,,14.072616000000002
2015_to_2007,19,weld,,,,,16.431767999999998
2015_to_2007,20,weld,,,,,28.59024
2015_to_2007,21,bend,,,,,30.0228
2015_to_2007,22,weld,,,,,31.525464000000003
2015_to_2007,23,bend,,,,,32.753808
2015_to_2007,25,cluster,150.0,18.0,50.8,87.37599999999999,38.886384
2015_to_2007,26,weld,,,,,39.151559999999996
2015_to_2007,27,weld,,,,,43.77232800000001
2015_to_2007,28,weld,,,,,53.394864000000005
2015_to_2007,29,weld,,,,,65.605152
2015_to_2007,30,weld,,,,,77.80934400000001
2015_to_2007,31,bend,,,,,79.952088
2015_to_2007,32,weld,,,,,81.96376800000002
2015_to_2007,33,weld,,,,,94.180152
2015_to_2007,34,weld,,,,,106.381296
2015_to_2007,35,bend,,,,,107.923584
2015_to_2007,36,weld,,,,,109.46892
2015_to_2007,37,weld,,,,,114.64747200000001
2015_to_2007,38,bend,,,,,115.81790400000001
2015_to_2007,39,weld,,,,,117.125496
2015_to_2007,40,weld,,,,,124.157232
2015_to_2007,41,bend,,,,,125.656848
2015_to_2007,42,weld,,,,,127.23266400000001
2015_to_2007,43,weld,,,,,130.939032
2015_to_2007,44,bend,,,,,132.301488
2015_to_2007,45,weld,,,,,135.943848
2015_to_2007,46,weld,,,,,148.135848
2015_to_2007,47,weld,,,,,160.37052
2015_to_2007,48,weld,,,,,172.64176799999998
2015_to_2007,49,cluster,270.0,10.0,21.843999999999998,61.214,184.58078400000002
2015_to_2007,50,weld,,,,,184.84596000000002
2015_to_2007,51,cluster,120.0,15.0,46.99,227.07599999999996,194.09664
2015_to_2007,52,weld,,,,,194.39229600000002
2015_to_2007,53,bend,,,,,195.85533600000002
2015_to_2007,54,weld,,,,,197.32752
2015_to_2007,55,bend,,,,,198.452232
2015_to_2007,56,weld,,,,,199.768968
2015_to_2007,57,cluster,30.0,21.0,118.618,257.556,203.82890400000002
2015_to_2007,58,corrosion,270.0,40.0,25.907999999999998,23.875999999999998,203.853288
2015_to_2007,59,weld,,,,,204.365352
2015_to_2007,60,bend,,,,,205.596744
2015_to_2007,61,weld,,,,,206.76412800000003
2015_to_2007,62,corrosion,240.0,25.0,59.943999999999996,33.019999999999996,207.02625600000002
2015_to_2007,63,corrosion,240.0,15.0,40.894,151.13,207.044544
2015_to_2007,64,weld,,,,,209.431128
2015_to_2007,65,weld,,,,,212.594952
2015_to_2007,66,weld,,,,,224.77780800000002
2015_to_2007,67,bend,,,,,226.576128
2015_to_2007,68,weld,,,,,228.21900000000002
2015_to_2007,69,weld,,,,,230.04780000000002
2015_to_2007,70,weld,,,,,239.36553600000002
2015_to_2007,71,weld,,,,,250.902216
