pair,src_id,src_type,src_clock_deg,src_depth_pct,src_length_mm,src_width_mm,src_distance_m
2022_to_2015,0,,,,,,-4.45008
2022_to_2015,2,,,,,,0.0
2022_to_2015,3,,270.0,,,,0.42672
2022_to_2015,6,,,,,,4.611624000000001
2022_to_2015,8,,,,,,6.397752
2022_to_2015,9,,,,,,8.086344
2022_to_2015,10,,,,,,8.744712000000002
2022_to_2015,11,,,,,,10.402824
2022_to_2015,12,,,,,,11.835384
2022_to_2015,13,,,,,,14.12748
2022_to_2015,14,,,,,,16.373856
2022_to_2015,15,,,,,,28.669488
2022_to_2015,16,,,,,,30.169104000000004
2022_to_2015,17,,,,,,31.494984000000002
2022_to_2015,18,,,,,,32.79648
2022_to_2015,19,,,,,,33.991296
2022_to_2015,20,,,,,,39.282624
2022_to_2015,21,,,,,,43.897296000000004
2022_to_2015,22,,,,,,53.532024
2022_to_2015,23,,,,,,65.74536
2022_to_2015,24,,,,,,77.98612800000001
2022_to_2015,25,,,,,,80.07400799999999
2022_to_2015,26,,,,,,81.9912
2022_to_2015,27,,,,,,94.332552
2022_to_2015,28,,,,,,106.57332
2022_to_2015,29,,,,,,108.155232
2022_to_2015,30,,,,,,109.523784
2022_to_2015,31,,,,,,114.88216800000001
2022_to_2015,32,,,,,,116.14099200000001
2022_to_2015,33,,,,,,117.201696
2022_to_2015,34,,,,,,124.31572800000001
2022_to_2015,35,,,,,,125.92811999999999
2022_to_2015,36,,,,,,127.205232
2022_to_2015,37,,,,,,131.04876000000002
2022_to_2015,38,,,,,,132.414264
2022_to_2015,39,,,,,,133.731
2022_to_2015,40,,,,,,136.020048
2022_to_2015,41,,,,,,148.22424
2022_to_2015,42,,,,,,160.37052
2022_to_2015,43,,,,,,172.55337600000001
2022_to_2015,44,,,,,,184.74232800000001
2022_to_2015,45,,,,,,194.313048
2022_to_2015,46,,,,,,195.824856
2022_to_2015,47,,,,,,197.138544
2022_to_2015,48,,,,,,198.48576000000003
2022_to_2015,49,,,,,,199.607424
2022_to_2015,50,,,,,,204.31658400000003
2022_to_2015,51,,,,,,205.56931200000002
2022_to_2015,52,,,,,,206.651352
2022_to_2015,53,,,,,,209.37321599999999
2022_to_2015,54,,,,,,212.533992
2022_to_2015,55,,,,,,224.719896
2022_to_2015,56,,,,,,226.37191200000004
2022_to_2015,57,,,,,,227.97516000000002
2022_to_2015,58,,,,,,229.889304
2022_to_2015,59,,,,,,239.203992
2022_to_2015,60,,,,,,250.74372
2022_to_2015,61,,,,,,262.95400800000004
2022_to_2015,62,,,,,,275.1582
2022_to_2015,63,,,,,,287.39592
2022_to_2015,64,,,,,,289.297872
2022_to_2015,65,,,,,,291.010848
2022_to_2015,66,,,,,,300.17618400000003
2022_to_2015,67,,,,,,302.227488
2022_to_2015,68,,,,,,304.202592
2022_to_2015,69,,,,,,316.492128
2022_to_2015,70,,,,,,328.69936800000005
2022_to_2015,71,,,,,,340.91880000000003
2022_to_2015,72,,,,,,353.138232
2022_to_2015,73,,,,,,365.37595200000004
2022_to_2015,74,,,,,,377.607576
2022_to_2015,75,,,,,,389.8392
2022_to_2015,76,,,,,,402.0708240000001
2022_to_2015,77,,,,,,414.302448
2022_to_2015,78,,,,,,426.515784
2022_to_2015,79,,,,,,438.73216800000006
2022_to_2015,80,,,,,,449.433696
2022_to_2015,81,,,,,,461.65008
2022_to_2015,82,,,,,,473.86341600000003
2022_to_2015,83,,,,,,486.06151200000005
2022_to_2015,84,,,,,,498.24132000000003
2022_to_2015,85,,,,,,510.44246400000003
2022_to_2015,86,,,,,,522.628368
2022_to_2015,87,,,,,,534.805128
2022_to_2015,88,,,,,,547.018464
2022_to_2015,89,,,,,,555.257208
2022_to_2015,90,,,,,,567.4614
2022_to_2015,91,,,,,,579.6381600000001
2022_to_2015,92,,,,,,591.482688
2022_to_2015,93,,,,,,603.692976
2022_to_2015,94,,,,,,615.9154560000001
2022_to_2015,95,,,,,,628.134888
2022_to_2015,96,,,,,,640.357368
2022_to_2015,97,,,,,,652.54632
2022_to_2015,98,,,,,,664.747464
2022_to_2015,99,,,,,,676.9577519999999
2022_to_2015,100,,,,,,689.100984
2022_to_2015,101,,,,,,701.305176
2022_to_2015,102,,,,,,704.475096
2022_to_2015,103,,,,,,716.69148
2022_to_2015,104,,,,,,718.9683360000001
2022_to_2015,105,,,,,,721.1202240000001
2022_to_2015,106,,,,,,728.4171360000001
2022_to_2015,107,,,,,,740.6213280000001
2022_to_2015,108,,,,,,752.8133280000001
2022_to_2015,109,,,,,,765.0236160000001
2022_to_2015,110,,,,,,777.2278080000001
2022_to_2015,111,,,,,,789.4380960000001
2022_to_2015,112,,,,,,801.648384
